# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:12
# human 候选池（热钱包提币接收方，待探针筛活跃度）
# 全部接收方 2,316,827 个，按收到提币次数降序预排序取 15,000 个进探针
# 🔴 只按活动量筛，不看时间分布（反循环设计）
# 区块 42755201-50819862 | seed=42
address,source,note,n_from_cex
0x5ca24b278c1beee894f246fdb8e7070cda7376d9,base_cex_withdrawal,wd=223,223
0x2125ffae5984d284cfca7635d11a167ab9a84301,base_cex_withdrawal,wd=223,223
0x7a773846ffca2fd50a1796fd3b7dcc0123f7b003,base_cex_withdrawal,wd=222,222
0xcde0cc9d7f87e7ffc4eb62eed2772de3d867143d,base_cex_withdrawal,wd=222,222
0xe23cfea144f565d729161586c098378adfdfc8c9,base_cex_withdrawal,wd=222,222
0xd2aba04f9687c3609de04c2da4856f11ccf44ecb,base_cex_withdrawal,wd=222,222
0x861d108ea729a293146961a9572feec2f76890aa,base_cex_withdrawal,wd=221,221
0x42b2d77957e409aa2a4857493190c42a5deae631,base_cex_withdrawal,wd=220,220
0x128054e50b544496fd0ae4cdf6af02595403c920,base_cex_withdrawal,wd=220,220
0xdefdfcdafdf26d25f7df8d99299ae3b0c3c7014d,base_cex_withdrawal,wd=220,220
0x019c75c8524c89e50a96c379577a571c044c1f06,base_cex_withdrawal,wd=219,219
0x61cffc7335023210419ab59c62f76a2860f963cb,base_cex_withdrawal,wd=219,219
0x0000000000001ff3684f28c67538d4d072c22734,base_cex_withdrawal,wd=218,218
0xfdda8ad2dda7261018e3a80f54c8fdc6f190030d,base_cex_withdrawal,wd=218,218
0x4f8e1223af2e8ab01cf4cc15e6547d573b6bdfd5,base_cex_withdrawal,wd=217,217
0x446ae9d92e4317becce4a586c8d0ca770e0579ea,base_cex_withdrawal,wd=217,217
0xf4ec3ff311e099a916fb4d1e0904d2649f569457,base_cex_withdrawal,wd=217,217
0x765bd37f07f9d183b48e120df268ce368b220601,base_cex_withdrawal,wd=217,217
0xf59d24c5c797227b8faeaa21af3d146120aba67d,base_cex_withdrawal,wd=217,217
0x7f59204967dc754c604edd2dc10c99d37cec1e3a,base_cex_withdrawal,wd=217,217
0x0c2526d9ae8d516349cbf440df45b598b4a8ff2a,base_cex_withdrawal,wd=216,216
0xcf14090892c3a9993cb721742e3769cc529ae1c3,base_cex_withdrawal,wd=216,216
0x027ac7aec1edb5714b6f8d9694774cd4c59a1905,base_cex_withdrawal,wd=216,216
0x884856854c086eca0d542cc3a672650da2fbf013,base_cex_withdrawal,wd=216,216
0xb1bfa16609737431d861f544e57ac5d0c5de9cc9,base_cex_withdrawal,wd=216,216
0x08a20b086918bae229514a34f528128741c86d8d,base_cex_withdrawal,wd=216,216
0x483b4434088544b0d5bd1da511e4b75793e311c9,base_cex_withdrawal,wd=216,216
0x0f5904d9f2189d0b024cf24bbc13b545e83d96d9,base_cex_withdrawal,wd=215,215
0xc1e94a557cd6d619b9c4cb752d0605ebb640a3ee,base_cex_withdrawal,wd=215,215
0x09bf9c073c7a67215e3883a728dab03f3d888fc2,base_cex_withdrawal,wd=214,214
0x841e7884a25c58732f420838f932d57fcec968f0,base_cex_withdrawal,wd=214,214
0x036c0f2ddd93b2f14ad11d7e94a4bf47860018bc,base_cex_withdrawal,wd=214,214
0x6c91ae808a752345a53dc567456c2aa370afa7ca,base_cex_withdrawal,wd=214,214
0x7eb8080d773ac2fe0ed1eba926a855aaa6d93621,base_cex_withdrawal,wd=214,214
0x6bd36d5649c2e9bdbacb9585bb825c5f1ed797e0,base_cex_withdrawal,wd=214,214
0xbb7feb8946ae346a6073ba21eec8f4a5c9014474,base_cex_withdrawal,wd=214,214
0x3c719c481396ccbe2ab6e98f639aefea1abb67f4,base_cex_withdrawal,wd=213,213
0x89637e840429edd9902209efc1f3a58350de0e13,base_cex_withdrawal,wd=213,213
0x0c804e71c1d478d51896691e8bd26b999bb58763,base_cex_withdrawal,wd=213,213
