# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 01:29:56
# x402 Facilitator/提交者画像（采样切片配对金额）
# kind=x402: 均单 ≤$5（微支付网关）
# kind=retail: 均单 ≥$20（零售中继，其付款方大概率不是 agent）
# 🔴 这些地址必须从 agent 样本中排除；retail 型用于装配端剔除被污染的付款方
# 窗口 42755201-50819862 | 6 切片 × 3000 块
address,source,note,n_settled,avg_usd,n_payers,kind
0xd6d876bc3f575ca83d48939bbc7d46938b767e44,x402_facilitator,settled=8 avg=$0.0500 payers=1 kind=x402,8,0.05,1,x402
0xe978f91768af862c1638e52b3996ea85579632d2,x402_facilitator,settled=8 avg=$0.0500 payers=1 kind=x402,8,0.05,1,x402
0xe62923133a417cee4241677865ed5a63f44f4b54,x402_facilitator,settled=8 avg=$0.0100 payers=1 kind=x402,8,0.01,1,x402
0x0098b8d7d20f1ef7cacad84bfb9aff19a6ef3100,x402_facilitator,settled=7 avg=$0.1553 payers=3 kind=x402,7,0.155283,3,x402
0xf70da97812cb96acdf810712aa562db8dfa3dbef,x402_facilitator,settled=7 avg=$438.8274 payers=7 kind=retail,7,438.827393,7,retail
0x97d38aa5de015245dcca76305b53abe6da25f6a5,x402_facilitator,settled=7 avg=$0.1000 payers=1 kind=x402,7,0.1,1,x402
0x5e437bee4321db862ac57085ea5eb97199c0ccc5,x402_facilitator,settled=7 avg=$0.1000 payers=1 kind=x402,7,0.1,1,x402
0xa010c67b7ea9493340ef27da78e6f07e097d55cf,x402_facilitator,settled=7 avg=$0.0500 payers=1 kind=x402,7,0.05,1,x402
0x4918fb0aac7a0823cf25de99d5107717b81fe369,x402_facilitator,settled=6 avg=$0.0690 payers=3 kind=x402,6,0.069006,3,x402
0x42ec2a5fc5a23553a353a4219a42dea765877160,x402_facilitator,settled=6 avg=$722.0190 payers=6 kind=retail,6,722.018953,6,retail
0x323ae8934f15f8b75c0231364fb8b4afe870a4f2,x402_facilitator,settled=6 avg=$402.0484 payers=5 kind=retail,6,402.04844,5,retail
0x5383c9675a027d20f695424781f4eec5ec59a4ef,x402_facilitator,settled=6 avg=$0.0008 payers=3 kind=x402,6,0.000833,3,x402
0x304779882e31a4c98c9042bbde1d3c59cc0b1221,x402_facilitator,settled=6 avg=$0.2867 payers=3 kind=x402,6,0.286667,3,x402
0x2915637a5f4b83b4097fc0b2eae2fe3c1c761465,x402_facilitator,settled=6 avg=$271.9283 payers=1 kind=retail,6,271.928333,1,retail
0xa039e3deb5ca71e41905f90491fc5d016ce23b79,x402_facilitator,settled=6 avg=$0.0300 payers=5 kind=x402,6,0.03,5,x402
0x1b4ad59720d2652a9a931961224956e1966a0231,x402_facilitator,settled=5 avg=$0.0650 payers=4 kind=x402,5,0.064989,4,x402
0x48738a3cc778dfe129d0b1eb0617e853978b5369,x402_facilitator,settled=5 avg=$0.0348 payers=3 kind=x402,5,0.034765,3,x402
0xdf517dbc9b6f4da8f5fcbf31541bbc81a1842402,x402_facilitator,settled=5 avg=$0.2081 payers=4 kind=x402,5,0.208097,4,x402
0x51609058e490c8205f1e043da60f41b182122bb6,x402_facilitator,settled=5 avg=$521.7953 payers=4 kind=retail,5,521.795292,4,retail
0x8d5ac3ec4b1d02d51c2d81b920268cf5b21c64e4,x402_facilitator,settled=5 avg=$0.0050 payers=1 kind=x402,5,0.005,1,x402
0xc2d17664b6f038ffa2eba5e93b73529c596dd492,x402_facilitator,settled=5 avg=$206.0820 payers=1 kind=retail,5,206.082,1,retail
0x06f0bfd2c8f36674df5cde852c1eed8025c268c9,x402_facilitator,settled=4 avg=$0.0100 payers=1 kind=x402,4,0.01,1,x402
0xfbd85a0c200b286ef2d7a08306113669013c39da,x402_facilitator,settled=4 avg=$16.3375 payers=4 kind=mixed,4,16.3375,4,mixed
0x23b32bae4708bc9af3962b81d6d8ca5327e9dffc,x402_facilitator,settled=4 avg=$208.1100 payers=1 kind=retail,4,208.11,1,retail
0x657eecaf94a46f00c68551c787876cebd569f0d9,x402_facilitator,settled=4 avg=$44.8300 payers=1 kind=retail,4,44.83,1,retail
0xffde6c9d800285fc82a655f442549ff5d8360410,x402_facilitator,settled=4 avg=$5.7750 payers=4 kind=mixed,4,5.775,4,mixed
0x655a77687a0510e86ba0716a948c78ae688d1d71,x402_facilitator,settled=4 avg=$5.0050 payers=2 kind=mixed,4,5.005,2,mixed
0xe469ee44d92bb173b7edc576ebb09da55dbfe32e,x402_facilitator,settled=4 avg=$25.8150 payers=1 kind=retail,4,25.815,1,retail
0xce5c72f4b112787d59cd2390dd4548525b1b1d05,x402_facilitator,settled=4 avg=$780.4850 payers=1 kind=retail,4,780.485,1,retail
0x730dc2dc1c60ce5f0630a4adf4e4c20f3edf7faa,x402_facilitator,settled=4 avg=$0.0060 payers=2 kind=x402,4,0.006,2,x402
0x515b42f95d35aed33587247fda14d8cd059321b5,x402_facilitator,settled=3 avg=$19.1633 payers=3 kind=mixed,3,19.163333,3,mixed
0x0d178ebbbf64a9bc1a4a9dd9383a4ec0f317b7d1,x402_facilitator,settled=3 avg=$0.0295 payers=3 kind=x402,3,0.029455,3,x402
0x19e0d42528f11b3a15b6354af059f0f1b069dcbe,x402_facilitator,settled=3 avg=$9.6367 payers=2 kind=mixed,3,9.636667,2,mixed
0x211580e0318526e91d4d18641790bdf40fda35a0,x402_facilitator,settled=3 avg=$173.9833 payers=3 kind=retail,3,173.983333,3,retail
0x568209e26cca206e5f69e1d61a05f6ecca72a952,x402_facilitator,settled=3 avg=$392.0000 payers=2 kind=retail,3,392.0,2,retail
0x86c0a10a35f8958ae1c4afa46abda1513e7e2889,x402_facilitator,settled=3 avg=$60.8800 payers=2 kind=retail,3,60.88,2,retail
0xb9e3b1815c4d827a4f05ab9630e60cb8aa5f292d,x402_facilitator,settled=3 avg=$22.0500 payers=3 kind=retail,3,22.05,3,retail
0xb182cdfc29af277430fcb05533d723f820e6b93d,x402_facilitator,settled=3 avg=$8.7500 payers=3 kind=mixed,3,8.75,3,mixed
0x9d661ac5a73e1f8c328046d10c734aa72eb21ab6,x402_facilitator,settled=3 avg=$8.7500 payers=3 kind=mixed,3,8.75,3,mixed
0xce9f863d77e7eab50bae951d87f4662418dcbc8e,x402_facilitator,settled=3 avg=$12.5833 payers=1 kind=mixed,3,12.583333,1,mixed
0x20164c2f1d3adc5929a2661fe7d55a9033e05534,x402_facilitator,settled=3 avg=$44.8000 payers=2 kind=retail,3,44.8,2,retail
0x05f16474c490eed3d9ae58e3d59c065853333bb9,x402_facilitator,settled=3 avg=$48.6500 payers=2 kind=retail,3,48.65,2,retail
0x73818379f3ca31f87c679d7d4ef542e781bfa3ba,x402_facilitator,settled=3 avg=$42.3500 payers=2 kind=retail,3,42.35,2,retail
0xfb58d0b5a494c6b9be899dc94b6237a37fb32b72,x402_facilitator,settled=3 avg=$6.9600 payers=3 kind=mixed,3,6.96,3,mixed
0x573bec47455f10529f28c5744d90f5cde7ce0d28,x402_facilitator,settled=3 avg=$51.8833 payers=2 kind=retail,3,51.883333,2,retail
0x9cee103f58f081b2b78fe3ff5c4d39f1eebac9d9,x402_facilitator,settled=3 avg=$31.8500 payers=2 kind=retail,3,31.85,2,retail
0x6d10c567db15b40bfb1a162c16cbd7a3e80bb12b,x402_facilitator,settled=3 avg=$9.8000 payers=3 kind=mixed,3,9.8,3,mixed
0x4337062690416e632d08d14e819892d6498f9ad4,x402_facilitator,settled=3 avg=$37.3767 payers=1 kind=retail,3,37.376667,1,retail
0x4337005db25dbad41da5692ba1188751ee5d98b6,x402_facilitator,settled=3 avg=$68.2433 payers=1 kind=retail,3,68.243333,1,retail
0x43370250bfc02c7f085cb105558da41e9cdb2d79,x402_facilitator,settled=3 avg=$106.2400 payers=1 kind=retail,3,106.24,1,retail
0xed7ef1a80f85c4e1feff8ba28e30a6276f1263a6,x402_facilitator,settled=3 avg=$12.0967 payers=2 kind=mixed,3,12.096667,2,mixed
0x4337019d937ebcbd73dd750072d86c1ce664b350,x402_facilitator,settled=3 avg=$291.9000 payers=1 kind=retail,3,291.9,1,retail
0x79f327d97b6d406ae7010742fda48cb260d76a38,x402_facilitator,settled=3 avg=$9.1000 payers=3 kind=mixed,3,9.1,3,mixed
0xfc7486bde5b9e0ee3ea91e0a346157afce97d8a5,x402_facilitator,settled=3 avg=$0.3868 payers=2 kind=x402,3,0.38676,2,x402
0x693523615f141a923d82288980cf31ace4958e4d,x402_facilitator,settled=3 avg=$1.0000 payers=2 kind=x402,3,1.0,2,x402
0x0324824fd65b622b5476270547770eb8099e0d7d,x402_facilitator,settled=2 avg=$0.1255 payers=1 kind=x402,2,0.1255,1,x402
0x43370368dccceb147c89d1d78f14589225220290,x402_facilitator,settled=2 avg=$150.7200 payers=2 kind=retail,2,150.72,2,retail
