# 由 agent_fingerprint/src/data_fetch 生成
# 时间: 2026-09-12 16:37:10
# x402 付款方（agent 弱正样本，真值质量 ★★）
# ★ 全窗口 AuthorizationUsed 扫描（sweep_window main 趟）
#   去重付款方 504,668 个，其中窗口内 ≥20 次的 23,897 个（低于门槛的不写入）
# avg_usd=-1: 金额提纯改用提交者画像（fetch_x402 --profile，见 x402_facilitators.csv）
# 区块 42755201-50819862
address,source,note,n_payments,avg_usd,n_sellers,bad_share,top_submitter
0x8746a1ee9afcf1af0a5690e363e7727b30e3bef6,x402_payer,n=18695 span=5d bad=0 submitters=5,18695,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x151d3577f7b21b1e64a58d3b8a4567bb3a66d031,x402_payer,n=18686 span=21d bad=0 submitters=5,18686,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x61139de852a77ea7e1afe9c45785dd04ef9a2d0b,x402_payer,n=18671 span=23d bad=0 submitters=20,18671,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x012df43cb91e8aee9cb4dac20959f1b72311a89e,x402_payer,n=18545 span=75d bad=0 submitters=20,18545,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0xfadf92a661b86662ac2584210ed221fc10c934c3,x402_payer,n=18451 span=10d bad=0 submitters=5,18451,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0xfeda7403aabe9a492ed70e810b396d8548a4a022,x402_payer,n=18084 span=36d bad=0 submitters=22,18084,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x70d88292f1761536e6e1d138d6d0aecfbb9cd4e7,x402_payer,n=18070 span=10d bad=0 submitters=5,18070,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0xc87763f4e1fe8a8fae04963d1122d2e1fac1d669,x402_payer,n=17855 span=146d bad=0 submitters=21,17855,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0xfd205364ebdb5b87957e73a2bdb3458b92adefbb,x402_payer,n=17701 span=27d bad=0 submitters=5,17701,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x0077b8c170815df145a96369a5ed8690ebe40f3c,x402_payer,n=17680 span=6d bad=0 submitters=21,17680,-1,-1,0.0,0x9a57ed0f20ad7dce606f042103fc14b0845e3504
0x467f98f222f3db1fd738f2a08bd103f8d380a4c1,x402_payer,n=17551 span=91d bad=0 submitters=21,17551,-1,-1,0.0,0x3be45f576696a2fd5a93c1330cd19f1607ab311d
0x5b36a35c1a9b6de9ab2729a82303eaf898d811b9,x402_payer,n=17501 span=2d bad=0 submitters=5,17501,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
0x44dd2bbedaa3be8f1b13d2416fdf31e3b65384d8,x402_payer,n=17451 span=7d bad=0 submitters=5,17451,-1,-1,0.0,0xa32ccda98ba7529705a059bd2d213da8de10d101
0xd394bb2dbdf6d898b3810664968202f41e2f8b5c,x402_payer,n=17315 span=179d bad=0 submitters=17,17315,-1,-1,0.0,0x67b9ce703d9ce658d7c4ac3c289cea112fe662af
0x86ee395aa7cb07e6b033ed17f502d6672acaa73d,x402_payer,n=16869 span=63d bad=0 submitters=20,16869,-1,-1,0.0,0x68a96f41ff1e9f2e7b591a931a4ad224e7c07863
0x2b360856f68d7452e44ca37a8ab0d6c88b86c773,x402_payer,n=16575 span=58d bad=0 submitters=1,16575,-1,-1,0.0,0x5e3bdbd087ecbbe0a4b3f794acda04610ff2c8a5
0xe6440ce076a5b491e7d6378223517d60a96b1326,x402_payer,n=16094 span=31d bad=0 submitters=24,16094,-1,-1,0.0,0xc6699d2aada6c36dfea5c248dd70f9cb0235cb63
0xc9f89f04119d3a82c633f1965b59e6632ef930e8,x402_payer,n=15684 span=40d bad=0 submitters=5,15684,-1,-1,0.0,0x8f5cb67b49555e614892b7233cfddebfb746e531
